avatar,first_name,last_name,phone,email
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/001.png,Bulbasaur,Grass,45,1
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/002.png,Ivysaur,Grass,60,2
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png,Venusaur,Grass,80,3
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/004.png,Charmander,Fire,39,4
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/005.png,Charmeleon,Fire,58,5
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png,Charizard,Fire,78,6
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/007.png,Squirtle,Water,44,7
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/008.png,Wartortle,Water,59,8
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png,Blastoise,Water,79,9
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/010.png,Caterpie,Bug,45,10
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/011.png,Metapod,Bug,50,11
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/012.png,Butterfree,Bug,60,12
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/013.png,Weedle,Bug,40,13
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/014.png,Kakuna,Bug,45,14
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png,Beedrill,Bug,65,15
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/016.png,Pidgey,Normal,40,16
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/017.png,Pidgeotto,Normal,63,17
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png,Pidgeot,Normal,83,18
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/019.png,Rattata,Normal,30,19
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/020.png,Raticate,Normal,55,20
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/021.png,Spearow,Normal,40,21
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/022.png,Fearow,Normal,65,22
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/023.png,Ekans,Poison,30,23
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/024.png,Arbok,Poison,60,24
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/025.png,Pikachu,Electric,35,25
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/026.png,Raichu,Electric,60,26
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/027.png,Sandshrew,Ground,50,27
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/028.png,Sandslash,Ground,75,28
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/029.png,Nidoran ♀,Poison,55,29
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/030.png,Nidorina,Poison,70,30
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/031.png,Nidoqueen,Poison,90,31
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/032.png,Nidoran ♂,Poison,46,32
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/033.png,Nidorino,Poison,61,33
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/034.png,Nidoking,Poison,81,34
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/035.png,Clefairy,Normal,70,35
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/036.png,Clefable,Normal,95,36
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/037.png,Vulpix,Fire,38,37
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/038.png,Ninetales,Fire,73,38
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/039.png,Jigglypuff,Normal,115,39
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/040.png,Wigglytuff,Normal,140,40
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/041.png,Zubat,Poison,40,41
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/042.png,Golbat,Poison,75,42
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/043.png,Oddish,Grass,45,43
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/044.png,Gloom,Grass,60,44
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/045.png,Vileplume,Grass,75,45
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/046.png,Paras,Bug,35,46
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/047.png,Parasect,Bug,60,47
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/048.png,Venonat,Bug,60,48
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/049.png,Venomoth,Bug,70,49
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/050.png,Diglett,Ground,10,50
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/051.png,Dugtrio,Ground,35,51
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/052.png,Meowth,Normal,40,52
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/053.png,Persian,Normal,65,53
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/054.png,Psyduck,Water,50,54
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/055.png,Golduck,Water,80,55
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/056.png,Mankey,Fighting,40,56
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/057.png,Primeape,Fighting,65,57
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/058.png,Growlithe,Fire,55,58
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/059.png,Arcanine,Fire,90,59
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/060.png,Poliwag,Water,40,60
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/061.png,Poliwhirl,Water,65,61
https://assets.pokemon.com/assets/cms2/img/pokedex/detail/062.png,Poliwrath,Water,90,62
